,hotel_name,price_week_before
564,Lovely loft near Barcelona center,"€ 1,650"
565,Barcelona City Centre Hostal,"€ 2,752"
566,Ella Hostel Ramblas,€ 996
567,ME Barcelona,"€ 3,227"
568,Inside Barcelona Apartments Esparteria,"€ 1,367"
569,Guitart Grand Passage,"€ 1,418"
570,Flor Parks,"€ 1,784"
571,Quiet apartment! Sagrada Familia!,"€ 1,257"
572,Happy Apartments,"€ 2,106"
573,Hesperia Barcelona Barri Gòtic,"€ 1,118"
574,Central and Basic Solarium HOSTEL,€ 765
575,Eixample patio views with amazing terrace,"€ 1,251"
576,Praktik Rambla,"€ 1,346"
577,Happy People Ramblas Harbour Apartments,"€ 2,253"
578,Casa Boutique Barcelona,"€ 1,321"
579,Charming Flats by Aspasios,"€ 1,556"
