,hotel_name,price_week_before
456,Eurostars Grand Marina Hotel GL,"€ 2,629"
457,Tendency Apartments 7,"€ 1,743"
458,Hotel Transit,"€ 1,596"
459,Vasanta powered by Sonder,"€ 1,695"
460,Exe Cristal Palace,"€ 1,958"
461,Picasso Suites,"€ 2,388"
462,Ikonik Anglí,"€ 1,871"
463,DO Plaça Reial powered by Sonder,"€ 2,478"
464,Hotel El Call,"€ 1,882"
465,Rooms Arago,€ 530
466,Hotel Condal,"€ 1,936"
467,Lodging Apartments City Center-Eixample,"€ 2,298"
468,Melia Barcelona Sarriá,"€ 2,303"
469,Hostal Sol y K,"€ 1,807"
470,BCN Apartments 41,"€ 2,677"
471,Le Meridien Barcelona,"€ 3,190"
472,Yeah Barcelona Hostel,"€ 1,893"
473,Wilson Boutique Hotel,"€ 2,175"
474,Praktik Vinoteca,"€ 1,250"
475,Ola Living Born,"€ 2,205"
476,Umma Barcelona B&B Boutique,"€ 1,940"
477,Praktik Bakery,"€ 1,256"
478,htop BCN City #htopEnjoy,€ 900
479,Moderno,"€ 1,886"
480,Pelayo Deluxe Apartments,"€ 2,251"
481,Ola Living Santa Anna,"€ 2,117"
482,RAMBLA BEACH Barcelonastuff Apartments,"€ 2,501"
483,Aparteasy - Deluxe Family Apartments with Pool,"€ 2,052"
484,AinB Picasso-Corders Apartments,"€ 1,786"
485,Hotel Sant Pau,€ 862
486,Barnapartments Monumental,"€ 1,036"
487,Lumine Luxury Suites by gaiarooms,"€ 1,051"
488,Renaissance Barcelona Hotel,"€ 2,709"
489,Diagonal House Hostel,€ 630
490,"Alexandra Barcelona Hotel, Curio Collection by Hilton","€ 2,972"
491,Sant Jordi Hostels Sagrada Familia,"€ 1,672"
492,Alba Hotel,"€ 1,718"
493,Fontanella By BCN URBAN Rooms,"€ 1,772"
494,AB Paral·lel Spacious Apartments,"€ 2,433"
495,The Barcelona EDITION,"€ 3,837"
496,Le Palacete powered by Sonder,"€ 1,884"
497,Ola Living Aribau Apartments,"€ 2,481"
498,Flor Parks,"€ 1,976"
499,Ikonik Ramblas,"€ 2,263"
500,Hotel Brummell,"€ 1,575"
501,Radas,"€ 2,160"
502,Exe Ramblas Boquería,"€ 2,140"
503,My Address in Barcelona,"€ 3,096"
504,Pol & Grace Hotel,"€ 1,945"
505,Stay Together Barcelona Apartments,"€ 2,954"
